date,team_1,team_2,tournament,is_team_1_home,is_team_2_home,is_neutral,year,month,team_1_fifa,team_2_fifa,draw_betfair_odds,team_1_betfair_odds,team_2_betfair_odds,team_1_elo,team_2_elo,game_id_team_1,last_10_result_team_1,last_10_goals_team_1,last_10_goals_against_team_1,world_cup_wins_team_1,world_cup_games_team_1,game_id_team_2,last_10_result_team_2,last_10_goals_team_2,last_10_goals_against_team_2,world_cup_wins_team_2,world_cup_games_team_2
2018-06-20,Uruguay,Saudi Arabia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,976,462,7.2,1.25,20,1827.8051068472785,1700.6814210354523,14706,0.35,1,1.7,5,14,14696,0.5,2,1.6,0,6
2018-06-20,Iran,Spain,World Cup 2018,FALSE,FALSE,TRUE,2018,6,798,1162,7.4,19.5,1.23,1864.5644461247375,1989.555805586569,14698,0.85,1.4,0.5,0,6,14725,0.9,3.3,0.7,13,19
2018-06-21,Denmark,Australia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1054,700,3.7,1.75,6.8,1772.9414462367245,1793.758869594216,14717,0.75,2,0.6,3,7,14737,0.5,1.2,1.5,2,10
2018-06-21,France,Peru,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1166,1106,4.8,1.47,7.8,1942.804837813549,1893.1251051440458,14713,0.7,2,0.9,7,18,14738,0.7,1.2,0.7,0,0
2018-06-21,Argentina,Croatia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1254,975,3.3,1.98,4.4,1956.5558214185412,1821.5839567372204,14705,0.65,1.5,0.8,13,20,14690,0.6,1.1,0.8,2,9
2018-06-22,Brazil,Costa Rica,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1384,858,7.2,1.23,19.5,2076.6924003716144,1783.0795388513898,14712,0.75,2,0.4,17,24,14715,0.45,1,1.3,3,11
2018-06-22,Nigeria,Iceland,World Cup 2018,FALSE,FALSE,TRUE,2018,6,635,930,3.3,2.7,3.1,1756.2402802051206,1781.230496598264,14705,0.75,2,0.9,1,10,14723,0.65,1.3,0.6,0,0
2018-06-22,Serbia,Switzerland,World Cup 2018,FALSE,FALSE,TRUE,2018,6,732,1179,3.25,3.1,2.7,1714.643997574993,1814.1102523699112,14718,0.65,1.3,0.8,1,6,14692,0.85,1.8,0.4,5,11
2018-06-23,Belgium,Tunisia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1346,1012,5.3,1.35,11,1886.283811746375,1705.437809998982,14707,0.85,3.1,1.2,5,9,14681,0.5,1.4,1.3,0,6
2018-06-23,Korea Republic,Mexico,World Cup 2018,FALSE,FALSE,TRUE,2018,6,520,1008,NA,NA,NA,1758.8109169639515,1844.0906451313776,14718,0.4,0.9,1.3,5,17,14702,0.65,1.4,0.9,6,16
2018-06-23,Germany,Sweden,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1544,889,4.8,1.48,9.8,2074.395073677832,1765.550171919358,14713,0.85,2.7,0.8,21,28,14699,0.7,2.5,0.9,2,8
2018-06-24,England,Panama,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1040,574,7.6,1.23,18.5,1881.4046073860434,1725.075248727937,14712,0.65,1.4,0.7,6,17,14733,0.55,1.7,1.1,0,0
2018-06-24,Japan,Senegal,World Cup 2018,FALSE,FALSE,TRUE,2018,6,528,825,3.3,3.4,2.3,1826.380585354012,1831.5584844857133,14707,0.55,1.6,1.1,4,14,14726,0.75,1.5,0.5,2,5
2018-06-24,Poland,Colombia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1128,989,3.5,3.45,2.46,1791.8959332144318,1908.238378278938,14702,0.7,2.2,1.1,2,6,14711,0.6,1.7,0.8,4,5
2018-06-25,Uruguay,Russia,World Cup 2018,FALSE,TRUE,FALSE,2018,6,976,493,3.1,2.38,3.5,1827.8051068472785,1684.3729399805986,14706,0.35,1,1.7,5,14,14725,0.5,1.8,1.4,1,6
2018-06-25,Saudi Arabia,Egypt,World Cup 2018,FALSE,FALSE,TRUE,2018,6,462,636,3.45,4.6,1.75,1700.6814210354523,1769.523735111293,14696,0.5,2,1.6,0,6,14689,0.7,1.2,0.6,0,0
2018-06-25,Iran,Portugal,World Cup 2018,FALSE,FALSE,TRUE,2018,6,798,1306,4.5,9.6,1.38,1864.5644461247375,1963.6266412923374,14698,0.85,1.4,0.5,0,6,14722,0.9,2.1,0.3,7,17
2018-06-25,Spain,Morocco,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1162,681,4.5,1.44,9.2,1989.555805586569,1752.2095047536088,14725,0.9,3.3,0.7,13,19,14675,0.65,1.8,0.5,0,0
2018-06-26,Denmark,France,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1054,1166,3.65,6,1.74,1772.9414462367245,1942.804837813549,14717,0.75,2,0.6,3,7,14713,0.7,2,0.9,7,18
2018-06-26,Australia,Peru,World Cup 2018,FALSE,FALSE,TRUE,2018,6,700,1106,3.25,4.3,2.18,1793.758869594216,1893.1251051440458,14737,0.5,1.2,1.5,2,10,14738,0.7,1.2,0.7,0,0
2018-06-26,Nigeria,Argentina,World Cup 2018,FALSE,FALSE,TRUE,2018,6,635,1254,5,8.4,1.46,1756.2402802051206,1956.5558214185412,14705,0.75,2,0.9,1,10,14705,0.65,1.5,0.8,13,20
2018-06-26,Iceland,Croatia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,930,975,3.5,5.2,1.85,1781.230496598264,1821.5839567372204,14723,0.65,1.3,0.6,0,0,14690,0.6,1.1,0.8,2,9
2018-06-27,Mexico,Sweden,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1008,889,3.2,2.46,3.45,1844.0906451313776,1765.550171919358,14702,0.65,1.4,0.9,6,16,14699,0.7,2.5,0.9,2,8
2018-06-27,Korea Republic,Germany,World Cup 2018,FALSE,FALSE,TRUE,2018,6,520,1544,NA,NA,NA,1758.8109169639515,2074.395073677832,14718,0.4,0.9,1.3,5,17,14713,0.85,2.7,0.8,21,28
2018-06-27,Serbia,Brazil,World Cup 2018,FALSE,FALSE,TRUE,2018,6,732,1384,4.5,9,1.49,1714.643997574993,2076.6924003716144,14718,0.65,1.3,0.8,1,6,14712,0.75,2,0.4,17,24
2018-06-27,Switzerland,Costa Rica,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1179,858,3.4,1.94,4.4,1814.1102523699112,1783.0795388513898,14692,0.85,1.8,0.4,5,11,14715,0.45,1,1.3,3,11
2018-06-28,Japan,Poland,World Cup 2018,FALSE,FALSE,TRUE,2018,6,528,1128,3.45,4.6,2.02,1826.380585354012,1791.8959332144318,14707,0.55,1.6,1.1,4,14,14702,0.7,2.2,1.1,2,6
2018-06-28,Senegal,Colombia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,825,989,3.3,4,2.12,1831.5584844857133,1908.238378278938,14726,0.75,1.5,0.5,2,5,14711,0.6,1.7,0.8,4,5
2018-06-28,Panama,Tunisia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,574,1012,3.4,3.45,2.4,1725.075248727937,1705.437809998982,14733,0.55,1.7,1.1,0,0,14681,0.5,1.4,1.3,0,6
2018-06-28,England,Belgium,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1040,1346,3.35,3.2,2.56,1881.4046073860434,1886.283811746375,14712,0.65,1.4,0.7,6,17,14707,0.85,3.1,1.2,5,9
